location_id,location_name,location_type,fetched_at,selected_rank,track_id,track_name,artist_names,view_count,youtube_url,global_track_count
0x1023e1c113185419:0x3224b5422caf411d,"Lomé, Maritime Region, Togo",CITY,2026-03-21T19:37:31.903037+00:00,1,G:O6bzk-hQHfo,Tout ira mieux (Faut pas m'appeler),Paki Chenzu,418917,https://www.youtube.com/watch?v=8GCtSxewbgM,3
0x1023e1c113185419:0xfaae5b301ad19360,Togo,COUNTRY,2026-03-21T19:42:42.755243+00:00,1,G:O6bzk-hQHfo,Tout ira mieux (Faut pas m'appeler),Paki Chenzu,448713,https://www.youtube.com/watch?v=8GCtSxewbgM,3
0x10240271c72888e1:0xb00847dfe8d02953,"Maritime Region, Togo",SUBCOUNTRY,2026-03-21T19:37:31.605170+00:00,1,G:O6bzk-hQHfo,Tout ira mieux (Faut pas m'appeler),Paki Chenzu,433068,https://www.youtube.com/watch?v=8GCtSxewbgM,3
0x103b8b2ae68280c1:0xdc9e87a367c3d9cb,"Lagos, Lagos, Nigeria",CITY,2026-03-21T19:35:08.186063+00:00,14,G:73XBRs73F_Q,Ko'rin Iyin,EmmaOMG,401748,https://www.youtube.com/watch?v=tyYfj-zAb_Q,2
0x103bf2bae227550d:0xe771ad7f1bbe89d6,"Lagos, Nigeria",SUBCOUNTRY,2026-03-21T19:35:07.978756+00:00,14,G:73XBRs73F_Q,Ko'rin Iyin,EmmaOMG,410833,https://www.youtube.com/watch?v=tyYfj-zAb_Q,2
0x104e0baf7da48d0d:0x99a8fe4168c50bc8,Nigeria,COUNTRY,2026-03-21T19:35:07.873546+00:00,7,G:ugM0MKVgPgs,eko,FOLA,823733,https://www.youtube.com/watch?v=64mDxgdyIJg,3
0x104e6157ce3eeda9:0x32af1c368be32dfc,"Federal Capital Territory, Nigeria",SUBCOUNTRY,2026-03-21T19:35:08.138074+00:00,5,G:WzI1J7nS9pQ,Aure,Danmusa New Prince,104297,https://www.youtube.com/watch?v=0I4J1ZXwkEY,2
0x104e745f4cd62fd9:0x53bd17b4a20ea12b,"Abuja, Federal Capital Territory, Nigeria",CITY,2026-03-21T19:35:08.418752+00:00,5,G:WzI1J7nS9pQ,Aure,Danmusa New Prince,102323,https://www.youtube.com/watch?v=0I4J1ZXwkEY,2
0x1061128be2e1fe6d:0x92daa1444781c48b,"Douala, Littoral Region, Cameroon",CITY,2026-03-21T19:36:21.041524+00:00,17,G:FGQObUhehes,Johnny,Grace Decca,60096,https://www.youtube.com/watch?v=7POY73GoFvs,2
0x1061128be2e1fe6d:0x9b97ebb6b92a3439,"Littoral Region, Cameroon",SUBCOUNTRY,2026-03-21T19:36:20.925774+00:00,17,G:FGQObUhehes,Johnny,Grace Decca,60131,https://www.youtube.com/watch?v=7POY73GoFvs,2
