location_id,location_name,location_type,fetched_at,selected_rank,track_id,track_name,artist_names,view_count,youtube_url,global_track_count
0x1023e1c113185419:0x3224b5422caf411d,"Lomé, Maritime Region, Togo",CITY,2026-04-06T20:48:12.446819+00:00,1,G:O6bzk-hQHfo,Tout ira mieux (Faut pas m'appeler),Paki Chenzu,403617,https://www.youtube.com/watch?v=8GCtSxewbgM,3
0x1023e1c113185419:0xfaae5b301ad19360,Togo,COUNTRY,2026-04-06T20:53:23.229106+00:00,1,G:O6bzk-hQHfo,Tout ira mieux (Faut pas m'appeler),Paki Chenzu,432064,https://www.youtube.com/watch?v=8GCtSxewbgM,3
0x10240271c72888e1:0xb00847dfe8d02953,"Maritime Region, Togo",SUBCOUNTRY,2026-04-06T20:48:12.242042+00:00,1,G:O6bzk-hQHfo,Tout ira mieux (Faut pas m'appeler),Paki Chenzu,416993,https://www.youtube.com/watch?v=8GCtSxewbgM,3
0x103b8b2ae68280c1:0xdc9e87a367c3d9cb,"Lagos, Lagos, Nigeria",CITY,2026-04-06T20:45:45.239362+00:00,19,G:73XBRs73F_Q,Ko'rin Iyin,EmmaOMG,370079,https://www.youtube.com/watch?v=tyYfj-zAb_Q,2
0x103bf2bae227550d:0xe771ad7f1bbe89d6,"Lagos, Nigeria",SUBCOUNTRY,2026-04-06T20:45:44.940461+00:00,19,G:p8Q3uCshMT8,you,FOLA,379776,https://www.youtube.com/watch?v=Ra1yHDcJygY,2
0x104e0baf7da48d0d:0x99a8fe4168c50bc8,Nigeria,COUNTRY,2026-04-06T20:45:44.744138+00:00,19,G:S65dSp4kcwI,Jembe,"Famous Pluto, Mavo",651331,https://www.youtube.com/watch?v=TipUsYlMPsY,1
0x104e6157ce3eeda9:0x32af1c368be32dfc,"Federal Capital Territory, Nigeria",SUBCOUNTRY,2026-03-21T19:35:08.138074+00:00,13,G:CdRDIfEL1f8,Love Egbugomo,"Syemca, Chike",82970,https://www.youtube.com/watch?v=I6rdMZfiAAI,1
0x104e745f4cd62fd9:0x53bd17b4a20ea12b,"Abuja, Federal Capital Territory, Nigeria",CITY,2026-04-06T20:45:45.264347+00:00,18,G:dAFze2bhAFw,Gimbiyar Hausa,Boyskido,85789,https://www.youtube.com/watch?v=7fXF6CyPG6E,1
0x1061128be2e1fe6d:0x92daa1444781c48b,"Douala, Littoral Region, Cameroon",CITY,2026-04-06T20:47:00.320107+00:00,20,G:CLBfzpnXo-o,Challenge,Grace Decca,60584,https://www.youtube.com/watch?v=zKhjUc_vHEY,3
0x1061128be2e1fe6d:0x9b97ebb6b92a3439,"Littoral Region, Cameroon",SUBCOUNTRY,2026-04-06T20:47:00.200197+00:00,20,G:CLBfzpnXo-o,Challenge,Grace Decca,60597,https://www.youtube.com/watch?v=zKhjUc_vHEY,3
0x10613753703e0f21:0x2b03c44599829b53,Cameroon,COUNTRY,2026-04-06T20:53:06.865394+00:00,19,G:CLBfzpnXo-o,Challenge,Grace Decca,158311,https://www.youtube.com/watch?v=zKhjUc_vHEY,3
0x107f3b8a5438f3ed:0x54e39df15ed195cc,"Estuaire, Gabon",SUBCOUNTRY,2026-04-06T20:48:13.316161+00:00,6,G:skwMKgkZlR4,JE M'APPELLE,L'Oiseau Rare,76204,https://www.youtube.com/watch?v=Z-hlddQqpjw,3
0x107f3b8a5438f3ed:0x7b0cc30e36786b15,Gabon,COUNTRY,2026-04-06T20:53:08.473199+00:00,6,G:skwMKgkZlR4,JE M'APPELLE,L'Oiseau Rare,94079,https://www.youtube.com/watch?v=Z-hlddQqpjw,3
0x107f3b8a5438f3ed:0x7bc2e2f27cd22bc2,"Libreville, Estuaire, Gabon",CITY,2026-04-06T20:48:13.326191+00:00,6,G:skwMKgkZlR4,JE M'APPELLE,L'Oiseau Rare,75292,https://www.youtube.com/watch?v=Z-hlddQqpjw,3
0x108bcf7a309a7977:0x4740934483632569,"Centre Region, Cameroon",SUBCOUNTRY,2026-04-06T20:47:58.478429+00:00,16,G:PeTNSBNRjBI,Pas de toi Sans Moi,Sandrine Nnanga,74748,https://www.youtube.com/watch?v=vg9vLLhRDhs,2
0x108bcf7a309a7977:0x7f54bad35e693c51,"Yaoundé, Centre Region, Cameroon",CITY,2026-04-06T20:47:58.671500+00:00,16,G:PeTNSBNRjBI,Pas de toi Sans Moi,Sandrine Nnanga,74277,https://www.youtube.com/watch?v=vg9vLLhRDhs,2
0x125595448316a4e1:0x3a84333aaa019bef,Tunisia,COUNTRY,2026-04-06T20:46:41.475670+00:00,14,G:COyCTFc5VD4,Menich Kifek,Young Rz,890496,https://www.youtube.com/watch?v=WiWmZwHezCs,3
0x12979259c61ac757:0xc40d5406c3d058c6,"Palma, Balearic Islands, Spain",CITY,2026-04-06T20:51:48.832189+00:00,17,G:Fyc6Eml-UnM,top diesel,Beéle,35534,https://www.youtube.com/watch?v=8H61_9M6IUs,74
0x1297925adc696257:0xff870321fba54d15,"Balearic Islands, Spain",SUBCOUNTRY,2026-04-06T20:53:26.359396+00:00,17,G:Fyc6Eml-UnM,top diesel,Beéle,48514,https://www.youtube.com/watch?v=8H61_9M6IUs,74
0x129946bc6d9d1985:0xb6ca1af29357fa88,"Eivissa, Balearic Islands, Spain",CITY,2026-04-06T20:53:26.633209+00:00,20,G:_91GzgXhlc0,Una Aventura,Ozuna,2458,https://www.youtube.com/watch?v=AhSEA30GSOw,43
0x12a150e4b86d9e5d:0x2e2190d249deced2,"Reus, Catalonia, Spain",CITY,2026-04-06T20:52:04.721538+00:00,20,G:s3BYTk2VG7E,"SUBEME LA RADIO (feat. Descemer Bueno, Zion & Lennox)",Enrique Iglesias,2936,https://www.youtube.com/watch?v=9sg-A-eS6Ig,15
0x12a3fcdbd3ddf159:0x920569a71387a3b2,"Tarragona, Catalonia, Spain",CITY,2026-04-06T20:52:32.064663+00:00,19,G:ImTdB_plLhE,Berghain,"ROSALÍA, Björk, Yves Tumor",5120,https://www.youtube.com/watch?v=htQBS2Ikz6c,26
0x12a45bdc8530f5f3:0x100fae021a3c850,"Catalonia, Spain",SUBCOUNTRY,2026-04-06T20:46:01.060676+00:00,17,G:ImTdB_plLhE,Berghain,"ROSALÍA, Björk, Yves Tumor",288330,https://www.youtube.com/watch?v=htQBS2Ikz6c,26
0x12a49177f830e3c5:0xfaeb6982d5b8dffe,"Rubí, Catalonia, Spain",CITY,2026-04-06T20:52:09.143834+00:00,15,G:s3BYTk2VG7E,"SUBEME LA RADIO (feat. Descemer Bueno, Zion & Lennox)",Enrique Iglesias,2115,https://www.youtube.com/watch?v=9sg-A-eS6Ig,15
0x12a492e820fabbfd:0xab0d33c5f2c73098,"Terrassa, Catalonia, Spain",CITY,2026-04-06T20:52:33.983809+00:00,16,G:s3BYTk2VG7E,"SUBEME LA RADIO (feat. Descemer Bueno, Zion & Lennox)",Enrique Iglesias,8127,https://www.youtube.com/watch?v=9sg-A-eS6Ig,15
